Sl_No,Brand_Category, Brand,Size_ML,LookColumn,Maximum_Retail_Price_per_case,Maximum_Retail_Price_per_bottle,Maximum_Retail_Price_per_bottle_OLD
338,B.I.O.,GREY GOOSE VODKA,750,(B.I.O.) -  GREY GOOSE VODKA - 750 ML,28996,4833,4800
339,B.I.O.,HARDYS STAMP OF AUSTRALIA CABERNET MERLOT RED WINE,750,(B.I.O.) -  HARDYS STAMP OF AUSTRALIA CABERNET MERLOT RED WINE - 750 ML,20229,1686,1669
340,B.I.O.,HARDYS STAMP OF AUSTRALIA CHARDONNAY SEMILLON WHITE WINE,750,(B.I.O.) -  HARDYS STAMP OF AUSTRALIA CHARDONNAY SEMILLON WHITE WINE - 750 ML,20229,1686,1669
341,B.I.O.,HAYMANS LONDON DRY GIN,700,(B.I.O.) -  HAYMANS LONDON DRY GIN - 700 ML,27797,4633,4600
342,B.I.O.,HAYMANS PEACH & ROSE CUP LIQUEUR,700,(B.I.O.) -  HAYMANS PEACH & ROSE CUP LIQUEUR - 700 ML,34999,5833,5801
343,B.I.O.,HENNESSY VERY SPECIAL COGNAC,700,(B.I.O.) -  HENNESSY VERY SPECIAL COGNAC - 700 ML,93321,7777,7761
344,B.I.O.,HENNESSY V.S.O.P. PRIVILEGE COGNAC,700,(B.I.O.) -  HENNESSY V.S.O.P. PRIVILEGE COGNAC - 700 ML,161674,13473,13457
345,B.I.O.,JACK DANIELS GENTLEMAN JACK TENNESSEE WHISKEY,750,(B.I.O.) -  JACK DANIELS GENTLEMAN JACK TENNESSEE WHISKEY - 750 ML,60076,5006,4990
346,B.I.O.,JACK DANIELS OLD NO.7 TENNESSEE WHISKEY,750,(B.I.O.) -  JACK DANIELS OLD NO.7 TENNESSEE WHISKEY - 750 ML,42559,3547,3530
347,B.I.O.,JACK DANIEL'S TENNESSE APPLE LIQUEUR,750,(B.I.O.) -  JACK DANIEL'S TENNESSE APPLE LIQUEUR - 750 ML,42559,3547,3530
348,B.I.O.,JACK DANIELS TENNESSEE FIRE CINNAMON LIQUEUR,750,(B.I.O.) -  JACK DANIELS TENNESSEE FIRE CINNAMON LIQUEUR - 750 ML,42559,3547,3530
349,B.I.O.,JACK DANIELS TENNESSEE HONEY LIQUEUR,750,(B.I.O.) -  JACK DANIELS TENNESSEE HONEY LIQUEUR - 750 ML,42559,3547,3530
350,B.I.O.,JACOBS CREEK CLASSIC CHARDONNAY WINE,750,(B.I.O.) -  JACOBS CREEK CLASSIC CHARDONNAY WINE - 750 ML,18338,1528,1512
351,B.I.O.,JACOBS CREEK CLASSIC SHIRAZ CABERNET WINE,750,(B.I.O.) -  JACOBS CREEK CLASSIC SHIRAZ CABERNET WINE - 750 ML,18338,1528,1512
352,B.I.O.,JAGERMEISTER HERBAL LIQUEUR,750,(B.I.O.) -  JAGERMEISTER HERBAL LIQUEUR - 750 ML,41130,3428,3411
353,B.I.O.,JAMES ALEXANDER BLENDED SCOTCH WHISKY,750,(B.I.O.) -  JAMES ALEXANDER BLENDED SCOTCH WHISKY - 750 ML,18890,1574,1558
354,B.I.O.,JAMESON TRIPLE DISTILLED IRISH WHISKEY,750,(B.I.O.) -  JAMESON TRIPLE DISTILLED IRISH WHISKEY - 750 ML,26857,2238,2222
355,B.I.O.,JIM BEAM BLACK EXTRA AGED BOURBON WHISKEY,750,(B.I.O.) -  JIM BEAM BLACK EXTRA AGED BOURBON WHISKEY - 750 ML,44479,3707,3690
356,B.I.O.,JOSE CUERVO ESPECIAL REPOSADO TEQUILA,750,(B.I.O.) -  JOSE CUERVO ESPECIAL REPOSADO TEQUILA - 750 ML,44597,3716,3700
357,B.I.O.,JOSE CUERVO ESPECIAL SILVE TEQUILA,750,(B.I.O.) -  JOSE CUERVO ESPECIAL SILVE TEQUILA - 750 ML,44596,3716,3700
358,B.I.O.,JP CHENET CHARDONNAY WHITE WINE,750,(B.I.O.) -  JP CHENET CHARDONNAY WHITE WINE - 750 ML,20596,1716,1700
359,B.I.O.,JP CHENET MERLOT RED WINE,750,(B.I.O.) -  JP CHENET MERLOT RED WINE - 750 ML,20596,1716,1700
360,B.I.O.,JURA SINGLE MALT SCOTCH WHISKY AGED 10 YEARS,700,(B.I.O.) -  JURA SINGLE MALT SCOTCH WHISKY AGED 10 YEARS - 700 ML,73509,6126,6109
361,B.I.O.,LA CHICA TEQUILA BLANCO,700,(B.I.O.) -  LA CHICA TEQUILA BLANCO - 700 ML,26355,2196,2180
362,B.I.O.,LANGLEYS OLD TOM GIN,700,(B.I.O.) -  LANGLEYS OLD TOM GIN - 700 ML,17292,2882,2850
363,B.I.O.,LAPHROAIG ISLAY SINGLE MALT SCOTCH WHISKY SELECT,750,(B.I.O.) -  LAPHROAIG ISLAY SINGLE MALT SCOTCH WHISKY SELECT - 750 ML,36133,6022,5990
364,B.I.O.,LE GRAND NOIR CABERNET SAUVIGNON,750,(B.I.O.) -  LE GRAND NOIR CABERNET SAUVIGNON - 750 ML,34397,2866,2850
365,B.I.O.,LE GRAND NOIR MALBEC RED WINE,750,(B.I.O.) -  LE GRAND NOIR MALBEC RED WINE - 750 ML,34397,2866,2850
366,B.I.O.,LE GRAND NOIR ROSE WINE,750,(B.I.O.) -  LE GRAND NOIR ROSE WINE - 750 ML,35597,2966,2950
367,B.I.O.,LE GRAND NOIR CHARDONNAY WHITE WINE,750,(B.I.O.) -  LE GRAND NOIR CHARDONNAY WHITE WINE - 750 ML,21794,1816,1800
368,B.I.O.,LE GRAND NOIR PINOT NOIR RED WINE,750,(B.I.O.) -  LE GRAND NOIR PINOT NOIR RED WINE - 750 ML,21794,1816,1800
369,B.I.O.,LUCIFER'S GOLD A BLEND OF BOURBON & SCOTCH WHISKY,700,(B.I.O.) -  LUCIFER'S GOLD A BLEND OF BOURBON & SCOTCH WHISKY - 700 ML,11296,1883,1850
370,B.I.O.,MATEUS THE ORIGINAL ROSE WINE,750,(B.I.O.) -  MATEUS THE ORIGINAL ROSE WINE - 750 ML,24893,2074,2058
371,B.I.O.,MOET AND CHANDON ROSE IMPERIAL CHAMPAGNE BRUT,750,(B.I.O.) -  MOET AND CHANDON ROSE IMPERIAL CHAMPAGNE BRUT - 750 ML,82785,13797,13765
372,B.I.O.,MONKEY SHOULDER THE ORIGINAL BLENDED MALT SCOTCH WHISKY,700,(B.I.O.) -  MONKEY SHOULDER THE ORIGINAL BLENDED MALT SCOTCH WHISKY - 700 ML,26578,4430,4397
373,B.I.O.,MONKEY 47 SCHWARZWALD DRY GIN,500,(B.I.O.) -  MONKEY 47 SCHWARZWALD DRY GIN - 500 ML,29596,4933,4900
374,B.I.O.,MONTE PACIFICO MERLOT,750,(B.I.O.) -  MONTE PACIFICO MERLOT - 750 ML,25576,2131,2115
375,B.I.O.,MONTE PACIFICO CHARDONNAY,750,(B.I.O.) -  MONTE PACIFICO CHARDONNAY - 750 ML,25576,2131,2115
376,B.I.O.,NAPOLEON PURE GRAPE BRANDY V.S.O.P.,750,(B.I.O.) -  NAPOLEON PURE GRAPE BRANDY V.S.O.P. - 750 ML,28022,2335,2319
377,B.I.O.,OUTBACK JACK CABERNET MERLOT,750,(B.I.O.) -  OUTBACK JACK CABERNET MERLOT - 750 ML,15798,1317,1300
378,B.I.O.,PEDRERA BLANCO WHITE WINE,750,(B.I.O.) -  PEDRERA BLANCO WHITE WINE - 750 ML,16067,1339,1323
379,B.I.O.,PEDRERA MONASTREL RED WINE,750,(B.I.O.) -  PEDRERA MONASTREL RED WINE - 750 ML,16067,1339,1323
380,B.I.O.,PEDRERA ROSADO ROSE WINE,750,(B.I.O.) -  PEDRERA ROSADO ROSE WINE - 750 ML,16067,1339,1323
381,B.I.O.,PREMIUS BORDEAUX ROUGE WINE,750,(B.I.O.) -  PREMIUS BORDEAUX ROUGE WINE - 750 ML,33609,2801,2785
382,B.I.O.,PREMIUS BORDEAUX SAUVIGNON WINE,750,(B.I.O.) -  PREMIUS BORDEAUX SAUVIGNON WINE - 750 ML,31994,2666,2650
383,B.I.O.,RIUNITE LAMBRUSCO EMILIA SWEET RED WINE,750,(B.I.O.) -  RIUNITE LAMBRUSCO EMILIA SWEET RED WINE - 750 ML,21576,1798,1782
384,B.I.O.,ROKU GIN,700,(B.I.O.) -  ROKU GIN - 700 ML,32893,5482,5450
385,B.I.O.,ROYAL SALUTE 21 YEARS OLD BLENDED SCOTCH WHISKY,700,(B.I.O.) -  ROYAL SALUTE 21 YEARS OLD BLENDED SCOTCH WHISKY - 700 ML,113282,18880,18848
386,B.I.O.,RUSSIAN STANDARD VODKA,750,(B.I.O.) -  RUSSIAN STANDARD VODKA - 750 ML,28396,2366,2350
387,B.I.O.,SANGRE DE TORO ORIGINAL RED WINE,750,(B.I.O.) -  SANGRE DE TORO ORIGINAL RED WINE - 750 ML,34397,2866,2850
388,B.I.O.,SCHWARTZHOG KRAUTER LIQUEUR,750,(B.I.O.) -  SCHWARTZHOG KRAUTER LIQUEUR - 750 ML,15496,2583,2550
389,B.I.O.,SIERRA TEQUILA REPOSADO,700,(B.I.O.) -  SIERRA TEQUILA REPOSADO - 700 ML,19695,3283,3250
390,B.I.O.,SIERRA TEQUILA SILVER,700,(B.I.O.) -  SIERRA TEQUILA SILVER - 700 ML,19695,3283,3250
391,B.I.O.,ST-REMY XO FRENCH BRANDY,700,(B.I.O.) -  ST-REMY XO FRENCH BRANDY - 700 ML,44001,3667,3650
392,B.I.O.,TENJAKU BLENDED WHISKY,700,(B.I.O.) -  TENJAKU BLENDED WHISKY - 700 ML,44654,3721,3705
393,B.I.O.,TENJAKU CRAFT GIN,700,(B.I.O.) -  TENJAKU CRAFT GIN - 700 ML,24735,4123,4090
394,B.I.O.,THE ARDMORE HIGHLAND SINGLE MALT SCOTCH WHISKY,700,(B.I.O.) -  THE ARDMORE HIGHLAND SINGLE MALT SCOTCH WHISKY - 700 ML,25366,4228,4195
395,B.I.O.,THE BUSH RUM ORIGINAL SPICED,700,(B.I.O.) -  THE BUSH RUM ORIGINAL SPICED - 700 ML,34999,5833,5801
396,B.I.O.,THE GLEN GRANT SINGLE MALT SCOTCH WHISKY AGED 10 YEARS,750,(B.I.O.) -  THE GLEN GRANT SINGLE MALT SCOTCH WHISKY AGED 10 YEARS - 750 ML,29419,4903,4871
397,B.I.O.,THE GLEN GRANT SINGLE MALT SCOTCH WHISKY AGED 12 YEARS,750,(B.I.O.) -  THE GLEN GRANT SINGLE MALT SCOTCH WHISKY AGED 12 YEARS - 750 ML,33800,5633,5601
398,B.I.O.,THE GLENLIVET 12 YEARS SINGLE MALT SCOTCH WHISKY,700,(B.I.O.) -  THE GLENLIVET 12 YEARS SINGLE MALT SCOTCH WHISKY - 700 ML,32595,5433,5400
399,B.I.O.,THE KING LUIS XIII BRANDY,700,(B.I.O.) -  THE KING LUIS XIII BRANDY - 700 ML,1680198,560066,560001
400,B.I.O.,THE SEXTON SINGLE MALT IRISH WHISKEY,700,(B.I.O.) -  THE SEXTON SINGLE MALT IRISH WHISKEY - 700 ML,45796,7633,7600
401,B.I.O.,TOKI SUNTORY WHISKY,700,(B.I.O.) -  TOKI SUNTORY WHISKY - 700 ML,29353,4892,4860
402,B.I.O.,TRES PICOS GANARCHA RED WINE,750,(B.I.O.) -  TRES PICOS GANARCHA RED WINE - 750 ML,37996,3166,3150
403,B.I.O.,VILLA SANDI PROSECCO SPARKLING WHITE WINE BRUT,750,(B.I.O.) -  VILLA SANDI PROSECCO SPARKLING WHITE WINE BRUT - 750 ML,16096,2683,2650
404,B.I.O.,VINASOL ORIGINAL WHITE WINE,750,(B.I.O.) -  VINASOL ORIGINAL WHITE WINE - 750 ML,42197,3516,3500
405,B.I.O.,VIVA EL RON DE CUBAN WHITE RUM,700,(B.I.O.) -  VIVA EL RON DE CUBAN WHITE RUM - 700 ML,21922,1827,1811
406,B.I.O.,WILD TURKEY KENTUCKY STRAIGHT BOURBON WHISKEY,750,(B.I.O.) -  WILD TURKEY KENTUCKY STRAIGHT BOURBON WHISKEY - 750 ML,34090,2841,2825
407,B.I.O.,X-RATED FUSION LIQUEUR,750,(B.I.O.) -  X-RATED FUSION LIQUEUR - 750 ML,11705,1951,1918
